id,nome,nome.1,dia_nasc,mes_nasc,ano_nasc,dia_morte,mes_morte,ano_morte
880,Annateresa Fabris,feminino,25.0,3.0,1947.0,,,
884,Anna Carboncini,não cadastrado,,,,,,
887,Sergio Greif,masculino,,,1968.0,,,
893,Sérgio Zalis,masculino,,,,,,
915,Adolfo Morales de Los Rios Filho,masculino,23.0,5.0,1887.0,20.0,9.0,1973.0
917,Mario Baldi,masculino,,,1896.0,,,1957.0
947,Luciano Figueiredo,masculino,,,1948.0,,,
950,Lygia Pape,feminino,7.0,4.0,1927.0,3.0,5.0,2004.0
962,Carlos Zilio,masculino,,,1944.0,,,
963,Gilberto Ferrez,masculino,,,1908.0,23.0,5.0,2000.0
971,Di Cavalcanti,masculino,6.0,9.0,1897.0,26.0,10.0,1976.0
972,Vera D'Horta,feminino,30.0,6.0,1944.0,,,
974,Pedro Manuel-Gismondi,masculino,20.0,12.0,1925.0,29.0,12.0,1999.0
978,Max Perlingeiro,masculino,,,,,,
983,Lamberto Scipioni,masculino,11.0,12.0,1949.0,,,
992,Mary Di Iorio,feminino,,,1945.0,,,
997,Jorge Eduardo,masculino,,,1936.0,,,
1001,Ronaldo Brito,masculino,1.0,8.0,1949.0,,,
1041,Tomoo Handa,masculino,,,1906.0,,,1996.0
1054,Itajahy Martins,masculino,13.0,12.0,1927.0,25.0,1.0,1991.0
1073,Edward Kienholz,masculino,,,1927.0,,,1994.0
1077,Roberto Linsker,masculino,,,1964.0,,,
1085,Djalma Limongi Batista,masculino,9.0,10.0,1947.0,,,
1095,Marilyn Diggs Mange,feminino,,,1951.0,,,
1140,Rachel de Queiroz,feminino,17.0,11.0,1910.0,4.0,11.0,2003.0
1178,Maria Beatrice Sasso,não cadastrado,,,,,,
1195,Mário Cesariny,não cadastrado,,,,,,
1199,Carybé,masculino,7.0,2.0,1911.0,2.0,10.0,1997.0
1244,José Miguel Wisnik,masculino,,,1948.0,,,
1269,Jean Boghici,masculino,,,1928.0,1.0,6.0,2015.0
1279,Jussi Lehto,não cadastrado,,,,,,
1290,Marcos Moreira,masculino,,,1967.0,,,
1311,Diana Dorothea Danon,feminino,28.0,5.0,1929.0,,,
1334,José Pancetti,masculino,18.0,6.0,1902.0,10.0,2.0,1958.0
1347,Fahrion,masculino,4.0,10.0,1898.0,11.0,8.0,1970.0
1381,Manuel Bandeira,masculino,19.0,4.0,1886.0,13.0,10.0,1968.0
1387,Rita Loureiro,feminino,,2.0,1952.0,,,
1391,Lélia Coelho Frota,feminino,11.0,7.0,1938.0,27.0,5.0,2010.0
1396,Celso Brandão,masculino,,,,,,
1397,Carlos Eugênio Marcondes de Moura,masculino,,,1933.0,,,
1401,Jean-Claude Bernardet,masculino,,8.0,1936.0,,,
1431,Maria Elizabete Santos Peixoto,feminino,,,,,,
1432,Elmer Corrêa Barbosa,masculino,,,,,,
1437,Eduardo Brandão,masculino,9.0,10.0,1957.0,,,
1460,Luciano Candisani,masculino,,,,,,
1461,Burle Marx,masculino,4.0,8.0,1909.0,4.0,6.0,1994.0
1472,Leonor Amarante,feminino,,,,,,
1479,Hugo Segawa,masculino,,,,,,
1492,Sabina de Libman,feminino,,,,,,
1511,Lucas Pennacchi,masculino,20.0,2.0,1960.0,,,
1517,Miguel Jorge,masculino,16.0,5.0,1933.0,,,
1520,José Israel Abrantes,masculino,,,1958.0,,,
1523,Maria do Carmo Secco,feminino,5.0,11.0,1933.0,,,2013.0
1529,Glauco Rodrigues,masculino,5.0,3.0,1929.0,19.0,3.0,2004.0
1531,Alair Gomes,masculino,20.0,12.0,1921.0,2.0,8.0,1992.0
1567,Poty Lazzarotto,masculino,29.0,3.0,1924.0,7.0,5.0,1998.0
1568,Valêncio Xavier,masculino,21.0,3.0,1933.0,5.0,12.0,2008.0
1593,Gisela Eichbaum,feminino,,,1920.0,,3.0,1996.0
1607,Estrigas,masculino,19.0,9.0,1919.0,2.0,10.0,2014.0
1610,Alfredo Volpi,masculino,14.0,4.0,1896.0,28.0,5.0,1988.0
1612,Milton Dacosta,masculino,19.0,10.0,1915.0,3.0,9.0,1988.0
1613,Ziraldo,masculino,24.0,10.0,1932.0,,,
1616,Antonio Maia,masculino,9.0,10.0,1928.0,11.0,7.0,2008.0
1617,Fernando Sabino,masculino,12.0,10.0,1923.0,11.0,10.0,2004.0
1620,Ricardo Ohtake,masculino,24.0,10.0,1942.0,,,
1624,Elvira Vernaschi,feminino,,,,,,
1634,Victor Brecheret,masculino,22.0,2.0,1894.0,17.0,12.0,1955.0
1642,José Cláudio,masculino,,,1932.0,,,
1643,Renato Magalhães Gouvêa,masculino,,,,,,
1645,Anna Mariani,feminino,4.0,7.0,1935.0,,,
1646,Lina Bo Bardi,feminino,5.0,12.0,1914.0,20.0,3.0,1992.0
1647,Patrícia Sada,feminino,,,,,,
1649,Maria Fernanda Freire Luis,não cadastrado,,,,,,
1653,Rubens de Azevedo,masculino,,,1921.0,,,
1662,Myriam Andrade Ribeiro de Oliveira,feminino,,,,,,
1665,Dennis Hopper,masculino,,,1936.0,,,
1690,Irma Arestizábal,feminino,,,,,,
1694,Lygia Clark,feminino,23.0,10.0,1920.0,25.0,4.0,1988.0
1700,A. Marx,masculino,2.0,2.0,1919.0,,,
1714,Dorian Gray,masculino,16.0,2.0,1930.0,,,
1721,Iberê Camargo,masculino,18.0,11.0,1914.0,9.0,8.0,1994.0
1734,Jaguar,masculino,29.0,2.0,1932.0,,,
1754,Hermann Burmeister,não cadastrado,,,,,,
1768,Antônio Rodrigues,masculino,,,,,,
1772,Luís da Câmara Cascudo,masculino,30.0,12.0,1898.0,,,1986.0
1779,Euclides da Cunha,masculino,20.0,1.0,1866.0,15.0,8.0,1909.0
1785,Gilberto Freyre,masculino,15.0,3.0,1900.0,18.0,7.0,1987.0
1787,Cicero Dias,masculino,5.0,3.0,1907.0,28.0,1.0,2003.0
1826,Alcântara Machado,masculino,25.0,5.0,1901.0,14.0,4.0,1934.0
1862,Jaime Batalha Reis,não cadastrado,,,,,,
1864,Charles de Ribeyrolles,não cadastrado,,,,,,
1866,Victor Frond,masculino,1.0,11.0,1821.0,16.0,1.0,1881.0
1867,Wasth Rodrigues,masculino,19.0,3.0,1891.0,21.0,4.0,1957.0
1874,Auguste de Saint-Hilaire,não cadastrado,,,,,,
1880,Antonio Simas,masculino,,,,,,
1894,Emilinha Borba,feminino,31.0,8.0,1923.0,3.0,10.0,2005.0
1897,Clarice Lispector,feminino,10.0,12.0,1920.0,9.0,12.0,1977.0
1906,Araquém Alcântara,masculino,16.0,1.0,1951.0,,,
1921,Rubem Grilo,masculino,28.0,8.0,1946.0,,,
1931,Casemiro Xavier de Mendonça,masculino,,,1947.0,11.0,1.0,1992.0
1939,Evandro Carlos Jardim,masculino,15.0,4.0,1935.0,,,
1940,Dalton Sala,masculino,6.0,5.0,1951.0,,,
1949,Nestor Goulart Reis Filho,masculino,,,1931.0,,,
1955,João Câmara,masculino,12.0,1.0,1944.0,,,
1959,Carlos Malheiros,masculino,,,1937.0,,,
1963,Rodrigo Andrade,masculino,,,1962.0,,,
1990,Paulo Venancio Filho,masculino,,,1953.0,,,
1991,Olney Krüse,masculino,5.0,2.0,1939.0,29.0,6.0,2006.0
1994,Dulce Soares,feminino,,,1943.0,,,
1995,Emanuel Von Lauenstein Massarani,masculino,,,,,,
2001,Militão Augusto de Azevedo,masculino,18.0,6.0,1837.0,24.0,5.0,1905.0
2010,Sheila Leirner,feminino,25.0,9.0,1948.0,,,
2029,Luiz Claudio Marigo,masculino,15.0,12.0,1950.0,,,
2030,Caio Prado Júnior,não cadastrado,,,,,,
2034,Joana Barauna,feminino,,,1947.0,,,
2052,Luís Jardim,masculino,8.0,12.0,1901.0,1.0,1.0,1987.0
2068,Augusto Carlos F. Velloso,masculino,,,,,,
2079,José Antônio da Silva,masculino,12.0,3.0,1909.0,8.0,8.0,1996.0
2087,Hugo Zanella,masculino,,,,,,
2088,Mino Carta,masculino,3.0,9.0,1933.0,,,
2089,Helio Campos Mello,masculino,17.0,3.0,1948.0,,,
2095,Cláudio Araújo Kubrusly,masculino,,,,,,
2104,Rubens Gerchman,masculino,10.0,1.0,1942.0,29.0,1.0,2008.0
2116,Aida Cordeiro,não cadastrado,,,,,,
2141,Maureen Bisilliat,feminino,16.0,2.0,1931.0,,,
2152,Ramonn Vieitez,masculino,,,1991.0,,,
2161,Régis Bonvicino,masculino,25.0,2.0,1955.0,,,
2166,Nazareno Tourinho,não cadastrado,,,,,,
2168,Abdelaziz Ousalah,masculino,,,,,,
2182,Leonardo Mathias,não cadastrado,,,,,,
2189,Le Corbusier,masculino,6.0,10.0,1887.0,27.0,8.0,1965.0
2196,Enock Sacramento,masculino,,,1937.0,,,
2198,Milton Ribeiro,masculino,,,1922.0,,,
2221,Carlos Prado,masculino,,,1908.0,10.0,2.0,1992.0
2223,Fernand Léger,masculino,4.0,2.0,1881.0,18.0,8.0,1955.0
2227,Hecilda Fadel,feminino,,,,,,
2236,Zé de Boni,masculino,2.0,3.0,1951.0,,,
2238,Pedro Karp Vasquez,masculino,29.0,4.0,1954.0,,,
2242,Camila Duprat,feminino,,,1955.0,7.0,8.0,2013.0
2243,Benjamin Silva,masculino,,,1927.0,,,
2273,Aldemir Martins,masculino,8.0,11.0,1922.0,5.0,2.0,2006.0
2275,Wilma Gabriel Martins,não cadastrado,,,,,,
2276,Paulo Cheida Sans,masculino,30.0,4.0,1955.0,,,
2297,Amorim,masculino,,,1964.0,,,
2305,Marcelo Mattos Araújo,masculino,,,,,,
2356,David Drew Zingg,masculino,14.0,12.0,1923.0,29.0,7.0,2000.0
2361,Guilherme Gaensly,masculino,,,1843.0,,,1928.0
2381,Gaspar Gasparian,masculino,,,1899.0,8.0,4.0,1966.0
2386,Cy Twombly,masculino,,,1928.0,,,
2415,Paulo Prado,masculino,,,,,,
2443,Mange,masculino,28.0,12.0,1922.0,12.0,5.0,2005.0
2445,José Paulo Paes,masculino,22.0,6.0,1926.0,9.0,10.0,1998.0
2448,Amilcar de Castro,masculino,8.0,6.0,1920.0,21.0,11.0,2002.0
2450,Mira Schendel,feminino,7.0,6.0,1919.0,24.0,7.0,1988.0
2455,Duda Machado,masculino,3.0,5.0,1944.0,,,
2459,Nuno Ramos,masculino,5.0,3.0,1960.0,,,
2466,Augusto Rodrigues,masculino,21.0,12.0,1913.0,9.0,4.0,1993.0
2480,Carlos Fernando Magalhães,masculino,,,1940.0,,,
2488,Voltolino,masculino,13.0,7.0,1884.0,22.0,8.0,1926.0
2508,Leon Vilhena,masculino,,,,,,
2528,Julio Roberto Katinsky,não cadastrado,,,,,,
2536,Pierre Verger,masculino,4.0,11.0,1902.0,11.0,2.0,1996.0
2542,Jaqueline Sampaio,feminino,,,,,,
2547,Henry Yu,não cadastrado,,,,,,
2552,Aníbal Mattos,masculino,26.0,10.0,1889.0,,6.0,1969.0
2556,John Heartfield,masculino,19.0,6.0,1891.0,,,1968.0
2569,Wassily Kandinsky,masculino,,,1866.0,,,1944.0
2588,Alberto Tassinari,masculino,,,,,,
2590,Bruno Giovannetti,não cadastrado,,,,,,
2597,Sebastião Salgado,masculino,8.0,2.0,1944.0,,,
2598,Cristianne Rodrigues,feminino,,,,,,
